Job Role,Job description,Required skills,Years of experience required,Company name,Location,Date posted
Project Manager Germany (all genders),"You are responsible for project planning and take full ownership over the project discovery, design, production, delivery and launch.","You are responsible for project planning and take full ownership over the project discovery, design, production, delivery and launch.",1 year,FFW,Homeoffice in Berlin,3 hours ago
Digital Campaign & Data Analyst (m/w/d),"Darüber hinaus vertreiben wir einen der größten Filmkataloge weltweit mit über 7.000 Titeln.
Wir sind Teil einer internationalen Gruppe mit Tochter- und…","Darüber hinaus vertreiben wir einen der größten Filmkataloge weltweit mit über 7.000 Titeln.
Wir sind Teil einer internationalen Gruppe mit Tochter- und…",2 years,Canal Plus,Berlin,2 days ago
Content Performance Analyst International - 24 months contract,"Deliver regular reporting, content forecasting tracking and consumer data opportunities.
You will be responsible for ensuring International content leadership…","Deliver regular reporting, content forecasting tracking and consumer data opportunities.
You will be responsible for ensuring International content leadership…",3 years,Audible,Berlin,1 day ago
Project Development Manager,"2 to 8 years of work experience with similar tasks; experience with project management in renewable projects or telecom, power lines, or other public or private…","2 to 8 years of work experience with similar tasks; experience with project management in renewable projects or telecom, power lines, or other public or private…",3 years,Neoen,Karlsruhe,2 weeks ago
Project Engineer (w/m/d) Fire Automation Offshore Onshore,"Entwickeln Sie gemeinsam mit uns, was morgen wichtig ist.
Ob durch schlaue Energie-Netzwerke, digitale Industrielösungen oder auch elektrische Autobahnen.","Entwickeln Sie gemeinsam mit uns, was morgen wichtig ist.
Ob durch schlaue Energie-Netzwerke, digitale Industrielösungen oder auch elektrische Autobahnen.",5 year,Siemens,Kiel,3 days ago
(Junior) Data Analyst / Data Scientist (m/w/d),"(Junior) Data Analyst / Data Scientist (m/w/d).
Hamburg · Osnabrück · Mobiles Arbeiten möglich ·.
In nur einem Jahrzehnt haben wir, mso digital, es seit der…","(Junior) Data Analyst / Data Scientist (m/w/d).
Hamburg · Osnabrück · Mobiles Arbeiten möglich ·.
In nur einem Jahrzehnt haben wir, mso digital, es seit der…",2 year,MSO Digital GmbH & Co. KG,Hamburg,2 weeks ago
Change Manager Digitalization (m/f/d),"Basic skills in project planning.
Bachelor's degree in economics, IT or comparable.
We take responsibility for projects such as introducing an App-solution for…","Basic skills in project planning.
Bachelor's degree in economics, IT or comparable.
We take responsibility for projects such as introducing an App-solution for…",3 year,SLM Solutions Group AG,Homeoffice,2 days ago
"Project Manager - France, Remote","You are responsible for project planning and take full ownership over the project discovery, design, production, delivery and launch.","You are responsible for project planning and take full ownership over the project discovery, design, production, delivery and launch.",4 year,FFW,Télétravail,1 week ago
CDI - data Analyst,"Participer au développement de nouvelles offres data en TV segmentée.
Réponses aux briefs, accompagnement aux rendez-vous clients, préparation et présentation…","Participer au développement de nouvelles offres data en TV segmentée.
Réponses aux briefs, accompagnement aux rendez-vous clients, préparation et présentation…",5 year,Canal Plus,Puteaux (92),7 days ago
Data analyst junior - H/F,"Vous participez à la maîtrise et à l’évolution de l’écosystème data (référentiel client, bases de données, outils d’analyse) pour enrichir les études et les…","Vous participez à la maîtrise et à l’évolution de l’écosystème data (référentiel client, bases de données, outils d’analyse) pour enrichir les études et les…",6 year,Damart,Roubaix (59),2 days ago
Project Manager (Remote),"Desired Result: Deliver projects which meet or exceed client expectations.
Essential Function: Successfully manage complex concurrent projects from project win…","Desired Result: Deliver projects which meet or exceed client expectations.
Essential Function: Successfully manage complex concurrent projects from project win…",1 year,KLDiscovery,Télétravail,2 weeks ago
2D Artist - Illustration & Game Art,"Create storyboards for project pitches.
The purpose is to visually communicate ideas for other senior artists, producers or external development studios to…","Create storyboards for project pitches.
The purpose is to visually communicate ideas for other senior artists, producers or external development studios to…",2 years,Infinitivity Design Labs,Télétravail,2 weeks ago
Junior/Graduate Equity Analyst,"Finance, law or business-related degree.
The candidate will be working in a team environment, dealing with institutional clients and our research team, while…","Finance, law or business-related degree.
The candidate will be working in a team environment, dealing with institutional clients and our research team, while…",3 years,Churchill Singapore Pte Ltd,Monaco (06),1 week ago
Data and Content Analytics Project Manager APAC,We’d love to see candidates who have 3+ years of experience in a big data agency and/or digital consultancy and/or within thedata/analytics department of a…,We’d love to see candidates who have 3+ years of experience in a big data agency and/or digital consultancy and/or within thedata/analytics department of a…,4 years,coty,75004 Paris 4e,2 weeks ago
Designer,"Concevoir le design extérieur des navires.
Définir les principes de design d’espace intérieur.
Participer à la définition d’interfaces graphiques spécifiques au…","Concevoir le design extérieur des navires.
Définir les principes de design d’espace intérieur.
Participer à la définition d’interfaces graphiques spécifiques au…",5 years,OCEA,85100 Les Sables-d'Olonne,2 weeks ago
APPRENTI DATA ENGINEER/ DATA ANALYST H/F,"Définir, prioriser les indicateurs, les analyser et les publier.
Base de données : PostgreSQL - Principe & Utilisation.","Définir, prioriser les indicateurs, les analyser et les publier.
Base de données : PostgreSQL - Principe & Utilisation.",6 years,Dassault Aviation,Istres (13),2 days ago
Data Manager F/H,"De formation supérieure, vous êtes structuré et avez envie de créer un service data au sein d’une PME dynamique en croissance.","De formation supérieure, vous êtes structuré et avez envie de créer un service data au sein d’une PME dynamique en croissance.",7 years,Maison M. Chapoutier,26600 Tain-l'Hermitage,2 weeks ago
STAGE MÉTHODE / DATA MANAGER F/H,"L’aide au déploiement de la GMAO LOOMA auprès des équipes opérationnelles (Créer et mettre à jour les plans de maintenance, nouvelles fonctionnalités,).","L’aide au déploiement de la GMAO LOOMA auprès des équipes opérationnelles (Créer et mettre à jour les plans de maintenance, nouvelles fonctionnalités,).",8 years,VINCI,Lesquin (59),3 days ago
Data Analyst Junior H/F-(H/F),"Vous êtes diplômé(e) d’une formation supérieure (bac + 5) ou équivalent en acquis professionnel, et avez une appétence pour le pilotage commercial ou financier,…","Vous êtes diplômé(e) d’une formation supérieure (bac + 5) ou équivalent en acquis professionnel, et avez une appétence pour le pilotage commercial ou financier,…",9 years,Société Générale,Télétravail hybride à La Défense (92),1 week ago
Une ou Un Data Analyst,"Une ou Un Data Analyst.
Directement rattaché(e) à le Direction des Opérations, tu participes à la construction et au suivi des indicateurs, des rapports et des…","Une ou Un Data Analyst.
Directement rattaché(e) à le Direction des Opérations, tu participes à la construction et au suivi des indicateurs, des rapports et des…",5 years,DialOnce,75001 Paris 1er,2 days ago
